"Epic","ID","User Story","Critères d'acceptation","Priorité","Story Points","Sprint","Phase","Étiquettes"
"INFRA & DevOps","INFRA-001","Mise en place des environnements Docker","DEV/STAGING/PREPROD/PROD configurés ; docker-compose opérationnel ; images versionnées","Must Have","8","1","Phase 0","infra,devops,setup"
"INFRA & DevOps","INFRA-002","Pipeline CI/CD GitLab","Pipeline lint→test→build→security-scan→deploy opérationnel ; quality gate bloquant","Must Have","8","1","Phase 0","infra,cicd,gitlab"
"INFRA & DevOps","INFRA-003","Configuration Kubernetes (EKS AWS)","Cluster Kubernetes multi-zone opérationnel ; namespaces dev/staging/prod créés","Must Have","13","2","Phase 0","infra,kubernetes,aws"
"INFRA & DevOps","INFRA-004","Mise en place ArgoCD (GitOps)","Déploiements automatiques depuis Git ; rollback automatique si health checks échouent","Must Have","8","2","Phase 0","infra,gitops,argocd"
"INFRA & DevOps","INFRA-005","Configuration monitoring Prometheus + Grafana","Dashboards Grafana opérationnels ; alertes Alertmanager configurées ; uptime surveillé","Must Have","5","3","Phase 0","infra,monitoring"
"INFRA & DevOps","INFRA-006","Intégration Sentry (APM)","Erreurs PHP capturées en temps réel ; sourcemaps frontend configurées ; alertes email","Must Have","3","3","Phase 0","infra,apm,sentry"
"INFRA & DevOps","INFRA-007","Configuration PostgreSQL 16 avec réplication","BDD primaire + replica de lecture ; sauvegardes automatiques toutes les 4h ; RTO testé","Must Have","8","2","Phase 0","infra,database,postgresql"
"INFRA & DevOps","INFRA-008","Configuration Redis 7 cluster","Redis cluster opérationnel ; sessions, cache applicatif et queues fonctionnels","Must Have","5","2","Phase 0","infra,redis,cache"
"INFRA & DevOps","INFRA-009","Configuration RabbitMQ","Broker opérationnel ; exchanges/queues/bindings définis ; workers Symfony Messenger actifs","Must Have","5","3","Phase 0","infra,rabbitmq,messaging"
"INFRA & DevOps","INFRA-010","Configuration Elasticsearch 8","Cluster ES opérationnel ; indices de base créés ; connexion depuis Symfony validée","Should Have","5","3","Phase 0","infra,elasticsearch,search"
"INFRA & DevOps","INFRA-011","Stratégie de sauvegarde et PRA","Sauvegardes BDD toutes 4h, fichiers 24h ; test de restauration documenté ; RTO < 4h validé","Must Have","8","4","Phase 0","infra,backup,pra"
"INFRA & DevOps","INFRA-012","HashiCorp Vault pour gestion des secrets","Vault opérationnel ; tous les secrets applicatifs injectés via Vault ; rotation automatique","Must Have","5","4","Phase 0","infra,security,vault"
"Socle Symfony","SOCLE-001","Initialisation projet Symfony 7","Projet créé avec symfony/skeleton ; bundles de base installés ; PSR-12 configuré","Must Have","3","1","Phase 0","symfony,setup,backend"
"Socle Symfony","SOCLE-002","Architecture modulaire — Bundles Symfony","Structure de répertoires par domaine métier ; conventions de nommage documentées","Must Have","8","1","Phase 0","symfony,architecture,ddd"
"Socle Symfony","SOCLE-003","Configuration API Platform 3","API Platform installé ; OpenAPI 3.1 auto-généré ; endpoints de santé /api/health actifs","Must Have","5","1","Phase 0","symfony,api,openapi"
"Socle Symfony","SOCLE-004","Configuration PHPStan level 8 + PHP CS Fixer","PHPStan level 8 sans erreur sur code base initial ; CS Fixer dans la CI ; Psalm configuré","Must Have","3","1","Phase 0","symfony,quality,static-analysis"
"Socle Symfony","SOCLE-005","Configuration PHPUnit + Behat + Playwright","Suite de tests initiale exécutable ; couverture reportée dans CI ; seuils configurés","Must Have","5","2","Phase 0","symfony,testing,phpunit"
"Socle Symfony","SOCLE-006","Design System UI — Composants de base","Layout principal, sidebar, topbar, tables, formulaires, modals codés ; Figma synchronisé","Must Have","13","3","Phase 0","frontend,ui,design-system"
"Socle Symfony","SOCLE-007","Internationalisation i18n (FR/EN/AR)","Translations Symfony configurées ; switcher de langue fonctionnel ; formatage locale","Must Have","5","4","Phase 0","symfony,i18n,frontend"
"Socle Symfony","SOCLE-008","Configuration multi-devises (taux BCE)","Service de taux de change avec import quotidien via API BCE ; formatage selon locale","Must Have","5","4","Phase 0","symfony,currency,finance"
"Auth & Sécurité","AUTH-001","Système d'authentification JWT","Login/logout fonctionnel ; tokens JWT générés et validés ; refresh token implémenté","Must Have","8","5","Phase 1","auth,security,jwt"
"Auth & Sécurité","AUTH-002","Multi-Factor Authentication (TOTP/SMS)","MFA activable par utilisateur ; TOTP (Google Authenticator) et SMS fonctionnels","Must Have","8","5","Phase 1","auth,security,mfa"
"Auth & Sécurité","AUTH-003","SSO OAuth2 / OpenID Connect + LDAP","Connexion via Azure AD et Google Workspace ; synchronisation annuaire LDAP","Must Have","13","6","Phase 1","auth,sso,oauth2,ldap"
"Auth & Sécurité","AUTH-004","RBAC granulaire avec héritage de rôles","Rôles hiérarchiques configurables ; permissions par module et par action CRUD","Must Have","13","6","Phase 1","auth,rbac,security"
"Auth & Sécurité","AUTH-005","Gestion des utilisateurs et profils","CRUD utilisateurs ; assignation de rôles ; désactivation compte ; historique connexions","Must Have","8","7","Phase 1","auth,users,admin"
"Auth & Sécurité","AUTH-006","Audit trail — journal des accès","Toute action tracée (user, timestamp, IP, module, action, avant/après) ; export CSV","Must Have","8","7","Phase 1","auth,audit,security"
"Auth & Sécurité","AUTH-007","Protection OWASP (CSRF, XSS, rate limiting)","CSRF tokens actifs ; échappement XSS systématique ; rate limiting 100req/min par IP","Must Have","8","8","Phase 1","auth,security,owasp"
"Auth & Sécurité","AUTH-008","Conformité RGPD — droit à l'oubli et export","Commande d'anonymisation des données ; export JSON des données personnelles ; logs accès","Must Have","8","9","Phase 1","auth,rgpd,compliance"
"Finance - Comptabilité","FIN-001","Plan comptable paramétrable (PCG/SYSCOHADA/IFRS)","Import/création de comptes ; arborescence à 7 niveaux ; gestion comptes analytiques","Must Have","13","5","Phase 1","finance,accounting,chart-of-accounts"
"Finance - Comptabilité","FIN-002","Saisie des écritures comptables","Formulaire de saisie équilibré (débit=crédit) ; validation automatique ; brouillon/validé","Must Have","13","6","Phase 1","finance,accounting,journal"
"Finance - Comptabilité","FIN-003","Workflow d'approbation des écritures","Workflow multi-niveaux paramétrable ; notifications ; refus avec motif ; historique","Must Have","8","6","Phase 1","finance,workflow,approval"
"Finance - Comptabilité","FIN-004","Journaux comptables (achats, ventes, banque, caisse, OD)","5 types de journaux ; filtres par période/compte/journal ; export PDF et Excel","Must Have","13","7","Phase 1","finance,accounting,journals"
"Finance - Comptabilité","FIN-005","Rapprochement bancaire automatique","Import fichiers OFX/CSV/MT940 ; matching automatique des lignes ; résidus à lettrer","Must Have","13","8","Phase 1","finance,banking,reconciliation"
"Finance - Comptabilité","FIN-006","Lettrage des comptes (manuel et automatique)","Lettrage par référence/montant/date ; délettrage possible ; taux de lettrage affiché","Must Have","8","8","Phase 1","finance,accounting,lettering"
"Finance - Comptabilité","FIN-007","Clôture mensuelle / trimestrielle / annuelle","Verrouillage des périodes clôturées ; contrepassation automatique ; report à-nouveau","Must Have","13","9","Phase 1","finance,accounting,closing"
"Finance - Comptabilité","FIN-008","Gestion des budgets prévisionnels","Saisie budget par compte/période ; comparatif prévisé/réalisé ; alertes de dépassement","Must Have","8","9","Phase 1","finance,budget,control"
"Finance - Comptabilité","FIN-009","Consolidation multi-sociétés et multi-devises","Agrégation des bilans de N sociétés ; élimination des intercos ; conversion devises","Must Have","13","10","Phase 1","finance,consolidation,multi-company"
"Finance - Comptabilité","FIN-010","États financiers — Bilan, P&L, Flux de trésorerie","Génération automatique des 3 états ; export PDF et Excel ; comparatif N vs N-1","Must Have","13","10","Phase 1","finance,reporting,financial-statements"
"Finance - Analytique","ANA-001","Axes analytiques multidimensionnels","Création libre d'axes (département, projet, centre coûts) ; jusqu'à 5 axes simultanés","Must Have","8","10","Phase 1","finance,analytics,cost-center"
